dup_group_id,record_id,parent_record_id,records_hierarchy,server_name,date_first_seen,title,title_clean_v2,authors_flat,cluster_size
10164916844830059372,crossref::10.36227/techrxiv.15093762,,parent,TechRxiv,2021-08-05,A Brief Review of Responsible AI and Socially Responsible Investment in Financial and Stock Trading,a brief review of responsible ai and socially responsible investment in financial and stock trading,"Ullah, A. K. M. Amanat; Sultana, Samiha; Faisal, Fahim; Rahi, Md. Muzahidul Islam; Alam, Md. Ashraful; Alam, Md. Golam Rabiul",2
10164916844830059372,crossref::10.36227/techrxiv.15093762.v1,crossref::10.36227/techrxiv.15093762,parent - duplicate (TechRxiv),TechRxiv,2021-08-05,A Brief Review of Responsible AI and Socially Responsible Investment in Financial and Stock Trading,a brief review of responsible ai and socially responsible investment in financial and stock trading,"Ullah, A. K. M. Amanat; Sultana, Samiha; Faisal, Fahim; Rahi, Md. Muzahidul Islam; Alam, Md. Ashraful; Alam, Md. Golam Rabiul",2
