dup_group_id,record_id,parent_record_id,records_hierarchy,server_name,date_first_seen,title,title_clean_v2,authors_flat,cluster_size
datacite::10.48550/arxiv.2206.09674,datacite::10.48550/arxiv.2206.09674,,parent,arXiv,2022-06-22,EAGER: Asking and Answering Questions for Automatic Reward Shaping in Language-guided RL,eager asking and answering questions for automatic reward shaping in language guided rl,"Carta, Thomas; Oudeyer, Pierre-Yves; Sigaud, Olivier; Lamprier, Sylvain",2
datacite::10.48550/arxiv.2206.09674,openalex::W4312059899,datacite::10.48550/arxiv.2206.09674,parent - duplicate (HAL),HAL,2022-11-28,EAGER: Asking and Answering Questions for Automatic Reward Shaping in Language-guided RL,eager asking and answering questions for automatic reward shaping in language guided rl,Thomas Carta; Sylvain Lamprier; Pierre‐Yves Oudeyer; Olivier Sigaud,2
