dup_group_id,record_id,parent_record_id,records_hierarchy,server_name,date_first_seen,title,title_clean_v2,authors_flat,cluster_size
openalex::W2963684486,openalex::W2963684486,,parent,DSpace@MIT,2016-08-01,Crossover from retro to specular Andreev reflections in bilayer graphene,crossover from retro to specular andreev reflections in bilayer graphene,K. B. Efetov; Dmitri K. Efetov,2
openalex::W2963684486,datacite::10.48550/arxiv.1605.04254,openalex::W2963684486,parent - duplicate (arXiv),arXiv,2022-03-06,Cross-over from retro to specular Andreev reflections in bilayer graphene,cross over from retro to specular andreev reflections in bilayer graphene,"Efetov, Dmitri K.; Efetov, Konstantin B.",2
