dup_group_id,record_id,parent_record_id,records_hierarchy,server_name,date_first_seen,title,title_clean_v2,authors_flat,cluster_size
crossref::10.1101/2021.02.15.431215,crossref::10.1101/2021.02.15.431215,,parent,bioRxiv,2021-02-16,Characterization of humoral and SARS-CoV-2 specific T cell responses in people living with HIV,characterization of humoral and sars cov 2 specific t cell responses in people living with hiv,"Alrubayyi, Aljawharah; Gea-Mallorquí, Ester; Touizer, Emma; Hameiri-Bowen, Dan; Kopycinski, Jakub; Charlton, Bethany; Fisher-Pearson, Natasha; Muir, Luke; Rosa, Annachiara; Roustan, Chloe; Earl, Christopher; Cherepanov, Peter; Pellegrino, Pierre; Waters, Laura; Burns, Fiona; Kinloch, Sabine; Dong, Tao; Dorrell, Lucy; Rowland-Jones, Sarah; McCoy, Laura E.; Peppa, Dimitra",2
crossref::10.1101/2021.02.15.431215,crossref::10.21203/rs.3.rs-309746/v1,crossref::10.1101/2021.02.15.431215,parent - duplicate (Research Square),Research Square,2021-03-17,Characterization of humoral and SARS-CoV-2 specific T cell responses in people living with HIV,characterization of humoral and sars cov 2 specific t cell responses in people living with hiv,"Alrubayyi, Aljawharah; Gea-Mallorquí, Ester; Touizer, Emma; Hameiri-Bowen, Dan; Kopycinski, Jakub; Charlton, Bethany; Fisher-Pearson, Natasha; Muir, Luke; Rosa, Annachiara; Roustan, Chloë; Earl, Christopher; Cherepanov, Peter; Pellegrino, Pierre; Waters, Laura; Burns, Fiona; Kinloch, Sabine; Dong, Tao; Dorrell, Lucy; Rowland-Jones, Sarah; McCoy, Laura; Peppa, Dimitra",2
