doi,url,primary_url,title,original_title,short_title,subtitle,type,subtype,prefix,publisher,container_title,short_container_title,institution_name,created_date,posted_date,deposited_date,indexed_date,issued_date,published_online_date,published_print_date,accepted_date,approved_date,authors,authors_json,editors_json,translators_json,chairs_json,contributors_json,license_url,licenses_json,links_json,subjects,subjects_json,language,issn_json,issn_type_json,isbn_type_json,alternative_id_json,funder_json,reference_count,is_referenced_by_count,references_json,is_preprint_of,has_preprint,is_version_of,relation_json,update_type,update_policy,update_to_json,archive_json,content_domain_json,assertion_json,institution_json,group_title,member,source,score,abstract_raw
10.31219/osf.io/4257r_v2,https://doi.org/10.31219/osf.io/4257r_v2,https://osf.io/4257r_v2,Mental Imagery as a Form of Memory,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-02,2025-10-02,2025-10-03,2025-10-03,2025-10-02,,,,,Sacha Behrend,"[{""affiliation"": [], ""family"": ""Behrend"", ""given"": ""Sacha"", ""sequence"": ""first""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 2]], ""date-time"": ""2025-10-02T00:00:00Z"", ""timestamp"": 1759363200000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/4257r_v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/4257r_v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>In the philosophical literature, mental imagery is often described as falling under imagination. This paper critically examines this prevailing notion and contends that classifying mental imagery as a form of memory offers a more explanatorily fruitful framework. To do this, I challenge recent philosophical classifications and argue that if we want to embrace a naturalistic perspective, there are compelling reasons to adopt an alternative taxonomy that takes mental imagery to be a form of memory. Drawing upon research in cognitive science that highlights connections between mental imagery, long term memory and visual working memory, I contend that mental imagery should be understood in relation to these cognitive faculties. Reconsidering the taxonomy of mental imagery allows both to make the collaboration between philosophers and scientists more fruitful and to have a more nuanced understanding of what constitutes a case of mental imagery and its relationship with other mental processes.</p>"
10.31219/osf.io/z9avd_v2,https://doi.org/10.31219/osf.io/z9avd_v2,https://osf.io/z9avd_v2,The postulate of vacuum as the medium of matter waves and  the extension of the equivalence principle,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-03,2025-10-03,2025-10-03,2025-10-03,2025-10-03,,,,,ZhongFei Mao,"[{""ORCID"": ""https://orcid.org/0000-0002-5453-5874"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Mao"", ""given"": ""ZhongFei"", ""sequence"": ""first""}]",,,,,,,,,,,,,,,,0,0,,,,10.31219/osf.io/z9avd,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/z9avd"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>The vacuum polarization described in quantum electrodynamics inspires the reconstruction of the relationship between a vacuum and a particle. It is reasonable to amalgamate vacuum and matter into one object: the metric space. Thus, the motion of matter can be described as the propagation of the state of space in a vacuum, the vacuum being the medium through which the matter wave propagates. The consequence of unifying a particle and vacuum with metric space is that all the properties of the particle should be described as the intrinsic properties of the space. By defining the affine curvature tensor symmetric part (electric field analogue) and an antisymmetric part (magnetic field analogue, zero divergence), the energy density is proposed to be proportional to the Kretschmann scalar, 𝑢 = 𝑐ℏ𝑅𝑖𝑗𝑘𝑙 𝑅𝑖𝑗𝑘𝑙/2, and the momentum similar to electromagnetic momentum density 𝜀0𝐸 × 𝐵; a metric with a curvature proportional to 𝑚/𝑟2 is thus obtained. The equivalence of the torsion of the affine connection space with the angular momentum of matter is then discussed. The quantized spin angular momentum eigenstate in quantum mechanics is related to a connected torsional manifold. In the case of ℏ/2  spin, it corresponds to a Möbius circle. It is remarkable that the two classified elementary particles, bosons and fermions, correspond to the two types of topological manifolds, orientable and nonorientable manifolds. The reinterpreted concept of matter, in the form of curved space, gives rise to the idea of absolute space. The time dilation observed in the Global Positioning System, as predicted by special relativity and depending on the velocity in relation to the “universal frame,"" provides evidence of absolute space.</p>"
10.31219/osf.io/z9avd_v3,https://doi.org/10.31219/osf.io/z9avd_v3,https://osf.io/z9avd_v3,The postulate of vacuum as the medium of matter waves and  the extension of the equivalence principle,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-03,2025-10-03,2025-10-03,2025-10-03,2025-10-03,,,,,ZhongFei Mao,"[{""ORCID"": ""https://orcid.org/0000-0002-5453-5874"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Mao"", ""given"": ""ZhongFei"", ""sequence"": ""first""}]",,,,,,,,,,,,,,,,0,0,,,,10.31219/osf.io/z9avd; 10.31219/osf.io/z9avd_v2,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/z9avd_v2"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/z9avd"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>The vacuum polarization described in quantum electrodynamics inspires the reconstruction of the relationship between a vacuum and a particle. It is reasonable to amalgamate vacuum and matter into one object: the metric space. Thus, the motion of matter can be described as the propagation of the state of space in a vacuum, the vacuum being the medium through which the matter wave propagates. The consequence of unifying a particle and vacuum with metric space is that all the properties of the particle should be described as the intrinsic properties of the space. By defining the affine curvature tensor symmetric part (electric field analogue) and an antisymmetric part (magnetic field analogue, zero divergence), the energy density is proposed to be proportional to the Kretschmann scalar, 𝑢 = 𝑐ℏ𝑅𝑖𝑗𝑘𝑙 𝑅𝑖𝑗𝑘𝑙/2, and the momentum similar to electromagnetic momentum density 𝜀0𝐸 × 𝐵; a metric with a curvature proportional to 𝑚/𝑟2 is thus obtained. The equivalence of the torsion of the affine connection space with the angular momentum of matter is then discussed. The quantized spin angular momentum eigenstate in quantum mechanics is related to a connected torsional manifold. In the case of ℏ/2  spin, it corresponds to a Möbius circle. It is remarkable that the two classified elementary particles, bosons and fermions, correspond to the two types of topological manifolds, orientable and nonorientable manifolds. The reinterpreted concept of matter, in the form of curved space, gives rise to the idea of absolute space. The time dilation observed in the Global Positioning System, as predicted by special relativity and depending on the velocity in relation to the “universal frame,"" provides evidence of absolute space.</p>"
10.31219/osf.io/cqr68_v3,https://doi.org/10.31219/osf.io/cqr68_v3,https://osf.io/cqr68_v3,"Assimilation, Emigration and Mobilization: Elite Responses to Territorial Conquest",,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-03,2025-10-03,2025-10-03,2025-10-03,2025-10-03,,,,,Roberto Valli,"[{""ORCID"": ""https://orcid.org/0000-0002-5868-2599"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Valli"", ""given"": ""Roberto"", ""sequence"": ""first""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 3]], ""date-time"": ""2025-10-03T00:00:00Z"", ""timestamp"": 1759449600000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/cqr68; 10.31219/osf.io/cqr68_v2,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/cqr68_v2"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/cqr68"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>Territorial conquest is commonly assumed to generate backlash among the conquered population. This paper argues instead that responses to annexation can vary between emigration, assimilation, and mobilization. Specific choices depend on each individual's ethnic background and the relative costs of each strategy. I test the argument on Alsace-Lorraine, a region annexed twice by Germany and France between 1850 and 1938. Using novel spatial data on historical book publications to measure linguistic behavior of local intellectual elites, and a difference-in-differences design, I document evidence for all three strategies. First, I find that both conquests caused large shifts toward the language of the conquering state. These shifts were partly driven by the emigration of local authors, but also by systematic linguistic assimilation. Second, conquest promoted the mobilization in the form of regionalist discourse, which served as a tool for elites to advocate local interests while integrating into the conquering state, rather than a secessionist form of identification.</p>"
10.31219/osf.io/2ny7d_v2,https://doi.org/10.31219/osf.io/2ny7d_v2,https://osf.io/2ny7d_v2,Extracellular matrices regulate extravasation journey of leukocytes and inflammatory tissue fate.,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-03,2025-10-03,2025-10-03,2025-10-03,2025-10-03,,,,,Yu-Tung Li,"[{""ORCID"": ""https://orcid.org/0000-0002-0718-7344"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Li"", ""given"": ""Yu-Tung"", ""sequence"": ""first""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 3]], ""date-time"": ""2025-10-03T00:00:00Z"", ""timestamp"": 1759449600000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/2ny7d_v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/2ny7d_v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>Leukocyte extravasation across the blood endothelium to inflamed tissues is a crucial defence mechanism against invading pathogens. After elimination of pathogen in the tissue, inflammation needs to be resolved back to steady-state. This cascade comprises of several stages: transmigration through the endothelium and the underlying basement membrane, intra-tissue leukocyte activity, and tissue resolution. In each stage, extracellular matrix proteins in the vascular basement membrane and in tissues regulate a multitude of endothelial and leukocyte functions essential to completion of the cascade, either as a collective force-permissive structure or through signalling by individual matrix proteins. This review will focus on how these extracellular matrices regulate the extravasation journey of leukocytes to illustrate their tight functional inter-dependence with profound impacts on the ultimate post-inflammation tissue fate.</p>"
10.31219/osf.io/b3wkr_v2,https://doi.org/10.31219/osf.io/b3wkr_v2,https://osf.io/b3wkr_v2,Intergenerational equity and responsibility: a call to internalize impermanence into certifying carbon sequestration,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-03,2025-10-03,2025-10-03,2025-10-03,2025-10-03,,,,,Stephanie Arcusa; Klaus Lackner,"[{""ORCID"": ""https://orcid.org/0000-0003-0694-9623"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Arcusa"", ""given"": ""Stephanie"", ""sequence"": ""first""}, {""affiliation"": [], ""family"": ""Lackner"", ""given"": ""Klaus"", ""sequence"": ""additional""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 3]], ""date-time"": ""2025-10-03T00:00:00Z"", ""timestamp"": 1759449600000}}]",,,,,,,,,,0,0,,10.1016/j.envsci.2025.104223,,10.31219/osf.io/b3wkr,"{""is-preprint-of"": [{""asserted-by"": ""subject"", ""id"": ""10.1016/j.envsci.2025.104223"", ""id-type"": ""doi""}], ""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/b3wkr"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>Carbon Dioxide Removal that limits or reduces cumulative emissions for the goal of climate action requires sequestration. The assurance that carbon remains sequestered is colloquially known as permanence. In current certification frameworks, permanence is often ascribed a duration inconsistent with and much shorter than the scientific understanding of the lifetime of carbon in the environment. These frameworks treat “impermanence” as an externality. First, this violates the polluter-pays principle rooted in international law, as it absolves the emitter and storage operator of responsibility. Second, any failure of sequestration threatens intergenerational equity, which is a binding concept in climate treaties. Impermanence can be managed if the responsibility for future losses is clearly delineated. For responsible carbon management, we propose shifting the responsibility for the carbon onto the storage operator. As a result the cost of monitoring the carbon reservoir and re-sequestration of any losses will have to be incorporated into the cost of certificates of carbon sequestration. Internalizing monitoring and re-sequestration put temporary and long-term storage on equivalent footing and allow for both. It therefore would strengthen the likelihood of success in reaching the climate goal and would help bridge a major gap between typically short-lived “natural” solutions and theoretically long-lived “engineered” solutions without compromising intergenerational equity.</p>"
10.31219/osf.io/dy76n_v2,https://doi.org/10.31219/osf.io/dy76n_v2,https://osf.io/dy76n_v2,"Price-, Taste-, and Convenience-Competitive Plant-Based Meat Analogues Would Not Currently Replace the Majority of Meat Consumption: A Narrative Review (accepted to Appetite)",,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-03,2025-10-03,2025-10-03,2025-10-03,2025-10-03,,,,,Jacob Robert Peacock,"[{""ORCID"": ""https://orcid.org/0000-0002-4834-8132"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Peacock"", ""given"": ""Jacob Robert"", ""sequence"": ""first""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 3]], ""date-time"": ""2025-10-03T00:00:00Z"", ""timestamp"": 1759449600000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/dy76n,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/dy76n"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>Plant-based meats, like the Beyond Sausage or Impossible Burger, and cultivated meats have become a source of optimism for public health, environmental and animal welfare advocates hoping to mitigate the myriad harms of animal-based foods by replacing them with perfect alternatives. Some have proposed that these substitutes might soon replace animal-based meats based on the supposition that price, taste and convenience are the primary drivers of food choice. Thus, it is hypothesized that if a plant-based meat matches (or exceeds) its animal-based counterpart on the basis of these three criteria, consumption will largely shift from animal-based to plant-based. However, this hypothesis has received little critical attention. To fill this gap, we will review evidence testing the PTC hypothesis, including cross-sectional surveys, hypothetical discrete choice experiments, a field experiment and commercial case studies. Ultimately, given current consumer preferences, we do not find support for the PTC hypothesis. However, PBMs may still have important  potential as a tool for reducing meat consumption.</p>"
10.31219/osf.io/hgc2z_v3,https://doi.org/10.31219/osf.io/hgc2z_v3,https://osf.io/hgc2z_v3,Biased Party Nominations as a Source of Women's Electoral Underperformance,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-03,2025-10-03,2025-10-03,2025-10-04,2025-10-03,,,,,Thomas Fujiwara; Hanno Hilbig; Pia Raffler,"[{""affiliation"": [], ""family"": ""Fujiwara"", ""given"": ""Thomas"", ""sequence"": ""first""}, {""ORCID"": ""https://orcid.org/0000-0001-5849-9172"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Hilbig"", ""given"": ""Hanno"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-1350-8466"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Raffler"", ""given"": ""Pia"", ""sequence"": ""additional""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 3]], ""date-time"": ""2025-10-03T00:00:00Z"", ""timestamp"": 1759449600000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/hgc2z_v1; 10.31219/osf.io/hgc2z_v2,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/hgc2z_v2"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/hgc2z_v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>What accounts for candidate gender differences in electoral success? We argue that parties systematically nominate women to run in districts where the party is less popular, making it harder for them to get elected. Our empirical strategy uses the German mixed electoral system to create counterfactual vote share differences that would occur if women and men were nominated in districts where their parties have equal popularity. Using data on all candidates for the German Bundestag across eleven elections, we document that women's underperformance, and its variation across parties and election years, is almost entirely explained by women running in less popular districts. In contrast, we find no evidence that voter bias or candidate characteristics play a substantial role. Our argument highlights gendered party gatekeeping by local officials, which increases in district strength, as a key driver of underrepresentation.</p>"
10.31219/osf.io/j6q2b_v2,https://doi.org/10.31219/osf.io/j6q2b_v2,https://osf.io/j6q2b_v2,Development and Testing of Compact Electronic Modules for Detectors Based on SiPM array,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-03,2025-10-03,2025-10-04,2025-10-04,2025-10-03,,,,,Ramil Akbarov; Sabuhi Nuruyev; Sergey Tyutyunnikov; Patrik Kucera; Michael Holik,"[{""affiliation"": [], ""family"": ""Akbarov"", ""given"": ""Ramil"", ""sequence"": ""first""}, {""affiliation"": [], ""family"": ""Nuruyev"", ""given"": ""Sabuhi"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Tyutyunnikov"", ""given"": ""Sergey"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Kucera"", ""given"": ""Patrik"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Holik"", ""given"": ""Michael"", ""sequence"": ""additional""}]",,,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode,"[{""URL"": ""https://creativecommons.org/publicdomain/zero/1.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 3]], ""date-time"": ""2025-10-03T00:00:00Z"", ""timestamp"": 1759449600000}}]",,,,,,,,,,0,0,,,,10.31219/osf.io/j6q2b_v1,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/j6q2b_v1"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>BackgroundCompact electronic modules are essential for modern detector systems utilizing Silicon Photomultiplier (SiPM) arrays due to their small size, low power consumption, and high precision. To address the growing demand for portable and efficient detection systems, the development of modules tailored for such applications has become a critical focus. This study introduces compact electronic modules designed for detectors based on MAPD (Microcell Avalanche Photodiode) arrays, aiming to improve reliability and versatility for industrial, medical, and scientific applications.MethodsThe developed modules include two primary components:DC-DC Voltage Converter: Based on the MAX1932ETC chip.Converts a 5 V input to a stable output voltage adjustable between 30 and 90 V.Supports a maximum current of 2.5 mA, ensuring reliable operation for SiPM arrays.Signal Amplification Unit: Utilizes the LTC6268 chip.Processes input signals ranging from 10 to 75 mV.Offers a gain factor of 45, characterized by low noise and high precision.The modules were integrated with a scintillation detector comprising a MAPD-3NM-II photodiode array and an LFs scintillator. Performance testing was conducted using a Cs-137 gamma source.ResultsThe energy resolution of the detector system was evaluated using the 662 keV gamma line from the Cs-137 source. The modules achieved an energy resolution of 10 ± 0.5%, demonstrating high reliability and efficiency. This performance confirms the modules’ capability to maintain stable operation and precise signal processing under real-world conditions.ConclusionsThe developed compact electronic modules provide a cost-effective and efficient solution for detectors utilizing SiPM arrays. Their stable voltage conversion, low-noise signal amplification, and high energy resolution make them suitable for a wide range of applications in industrial, medical, and scientific fields. Future work may focus on optimizing the modules for broader voltage ranges and compatibility with different scintillator materials to expand their applicability.</p>"
10.31219/osf.io/dcetf_v1,https://doi.org/10.31219/osf.io/dcetf_v1,https://osf.io/dcetf_v1,Pressure Based Theory: Testable Hypotheses and Distinctions from General Relativity and Quantum Field Theory,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-04,2025-10-04,2025-10-04,2025-10-04,2025-10-04,,,,,Matthew Foutch,"[{""ORCID"": ""https://orcid.org/0009-0003-3219-4647"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Foutch"", ""given"": ""Matthew"", ""sequence"": ""first""}]",,,,,https://creativecommons.org/licenses/by/4.0/legalcode,"[{""URL"": ""https://creativecommons.org/licenses/by/4.0/legalcode"", ""content-version"": ""unspecified"", ""delay-in-days"": 0, ""start"": {""date-parts"": [[2025, 10, 4]], ""date-time"": ""2025-10-04T00:00:00Z"", ""timestamp"": 1759536000000}}]",,,,,,,,,,0,0,,10.17605/OSF.IO/ZUGT4,,,"{""is-preprint-of"": [{""asserted-by"": ""subject"", ""id"": ""10.17605/OSF.IO/ZUGT4"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>Pressure Based Theory (PBT) proposes a mechanical unification of fundamental forces through particle fluxes in an infinite pressure vessel, extending historical push gravity models like Le Sage’s theory. This paper formalizes PBT’s key testable hypotheses: negligible gravitational drag (&amp;lt; 10−19 m/s2) and avoidance of singularities in black hole collapse. These predictions differ from general relativity (GR), which allows singularities, and quantum field theory (QFT), which incorporates probabilistic interactions without mechanical pushes. We detail experimental setups for falsification, including precision interferometry for drag and horizon imaging for singularities, positioning PBT as a falsifiable alternative to standard models.</p>"
10.31219/osf.io/hdjpk_v2,https://doi.org/10.31219/osf.io/hdjpk_v2,https://osf.io/hdjpk_v2,The Uneven Impact of Generative AI on Entrepreneurial Performance,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-03,2025-10-03,2025-10-05,2025-10-05,2025-10-03,,,,,Nicholas G. Otis; Rowan Philip Clarke; Solene Delecourt; David Holtz; Rembrand Koning,"[{""affiliation"": [], ""family"": ""Otis"", ""given"": ""Nicholas G."", ""sequence"": ""first""}, {""affiliation"": [], ""family"": ""Clarke"", ""given"": ""Rowan Philip"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-5917-3526"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Delecourt"", ""given"": ""Solene"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-0896-8628"", ""affiliation"": [{""id"": [{""asserted-by"": ""publisher"", ""id"": ""https://ror.org/042nb2s44"", ""id-type"": ""ROR""}], ""name"": ""Massachusetts Institute of Technology""}, {""id"": [{""asserted-by"": ""publisher"", ""id"": ""https://ror.org/01an7q238"", ""id-type"": ""ROR""}], ""name"": ""University of California, Berkeley""}], ""authenticated-orcid"": true, ""family"": ""Holtz"", ""given"": ""David"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Koning"", ""given"": ""Rembrand"", ""sequence"": ""additional""}]",,,,,,,,,,,,,,,,0,0,,,,10.31219/osf.io/hdjpk,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/hdjpk"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>Scalable and low-cost AI assistance has the potential to improve firm decision-making and economic performance, particularly in emerging markets. However, running a business involves a wide range of open-ended problems, making it unclear whether and how recent advances in AI can help business owners around the world make better decisions. In a field experiment with Kenyan entrepreneurs, we evaluated the impact of AI advice on small business revenues and profits by randomizing access to a GPT- 4-powered AI business assistant. While we are unable to reject the null hypothesis of no average treatment effect on firm revenues and profits, we find that the effect for entrepreneurs who were low-performing at baseline is nearly 0.25 standard deviations lower than for initial high performers. Subsample analyses show that low performers did nearly 10% worse due to the AI assistant, whereas high performers may have benefited by over 15%. This differential impact does not appear to result from differences in the questions posed to or the advice received from the AI, but rather from which pieces of AI advice entrepreneurs selected and implemented. More broadly, these results show that generative AI is already capable of impacting real-world business performance— though in uneven and sometimes unexpected ways.</p>"
10.31219/osf.io/hdjpk_v3,https://doi.org/10.31219/osf.io/hdjpk_v3,https://osf.io/hdjpk_v3,The Uneven Impact of Generative AI on Entrepreneurial Performance,,,,posted-content,preprint,10.31219,Center for Open Science,,,,2025-10-03,2025-10-03,2025-10-05,2025-10-05,2025-10-03,,,,,Nicholas G. Otis; Rowan Philip Clarke; Solene Delecourt; David Holtz; Rembrand Koning,"[{""affiliation"": [], ""family"": ""Otis"", ""given"": ""Nicholas G."", ""sequence"": ""first""}, {""affiliation"": [], ""family"": ""Clarke"", ""given"": ""Rowan Philip"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-5917-3526"", ""affiliation"": [], ""authenticated-orcid"": true, ""family"": ""Delecourt"", ""given"": ""Solene"", ""sequence"": ""additional""}, {""ORCID"": ""https://orcid.org/0000-0002-0896-8628"", ""affiliation"": [{""id"": [{""asserted-by"": ""publisher"", ""id"": ""https://ror.org/042nb2s44"", ""id-type"": ""ROR""}], ""name"": ""Massachusetts Institute of Technology""}, {""id"": [{""asserted-by"": ""publisher"", ""id"": ""https://ror.org/01an7q238"", ""id-type"": ""ROR""}], ""name"": ""University of California, Berkeley""}], ""authenticated-orcid"": true, ""family"": ""Holtz"", ""given"": ""David"", ""sequence"": ""additional""}, {""affiliation"": [], ""family"": ""Koning"", ""given"": ""Rembrand"", ""sequence"": ""additional""}]",,,,,,,,,,,,,,,,0,0,,,,10.31219/osf.io/hdjpk; 10.31219/osf.io/hdjpk_v2,"{""is-version-of"": [{""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/hdjpk_v2"", ""id-type"": ""doi""}, {""asserted-by"": ""subject"", ""id"": ""10.31219/osf.io/hdjpk"", ""id-type"": ""doi""}]}",,,,,"{""crossmark-restriction"": false, ""domain"": []}",,,Open Science Framework,15934,Crossref,0.0,"<p>Scalable and low-cost AI assistance has the potential to improve firm decision-making and economic performance, particularly in emerging markets. However, running a business involves a wide range of open-ended problems, making it unclear whether and how recent advances in AI can help business owners around the world make better decisions. In a field experiment with Kenyan entrepreneurs, we evaluated the impact of AI advice on small business revenues and profits by randomizing access to a GPT- 4-powered AI business assistant. While we are unable to reject the null hypothesis of no average treatment effect on firm revenues and profits, we find that the effect for entrepreneurs who were low-performing at baseline is nearly 0.25 standard deviations lower than for initial high performers. Subsample analyses show that low performers did nearly 10% worse due to the AI assistant, whereas high performers may have benefited by over 15%. This differential impact does not appear to result from differences in the questions posed to or the advice received from the AI, but rather from which pieces of AI advice entrepreneurs selected and implemented. More broadly, these results show that generative AI is already capable of impacting real-world business performance— though in uneven and sometimes unexpected ways.</p>"
